// 2012 HSK/Level 1
爱	ai4
今天比昨天冷得多。	jin1tian1 bi3 zuo2tian1 leng3 de5 duo1。	Today is much colder than yesterday. 
今天比昨天热得多。	jin1tian1 bi3 zuo2tian1 re4 de5 duo1。	Today is much hotter than yesterday. 
中国历史长, 人口多。	Zhong1guo2 li4shi3 zhang3, ren2kou3 duo1。	China has a long history and a large population. 
他有很多中国朋友。	ta1 you3 hen3 duo1 Zhong1guo2 peng2you5。	He has many Chinese friends. 
她比以前瘦多了。	ta1 bi3 yi3qian2 shou4 duo1 le5。	She is much thinner than before. 
早上很多人在公园里跑步。	zao3shang5 hen3 duo1 ren2 zai4 gong1yuan2 li3 pao3bu4。	Many people jog in the park early in the morning. 
我等你等了四十多分钟。	wo3deng3 ni3deng3 le5 si4shi2 duo1 fen1zhong1。	I waited for you for over forty minutes. 
“你去过中国没有?”“去过, 我去过中国很多地方。”	“ ni3 qu4 guo4 Zhong1guo2 mei2you3”“ qu4 guo4, wo3 qu4 guo4 Zhong1guo2 hen3 duo1 di4fang5。”	“Have you been to China?” “Yes, I've been to many parts of China.” 
没有多少	mei2you3 duo1shao3	not many, not much 
你去年中文考试得了多少分?	ni3 qu4nian2 Zhong1wen2 kao3shi4 de2le5 duo1shao5 fen1	What marks did you get for the Chinese examination last year? 
这一层楼有多少房间?	zhe4 yi1 ceng2lou2 you3 duo1shao5 fang2jian1	How many rooms are there on this floor? 
这个年级有多少学生?	zhe4ge5 nian2ji2 you3 duo1shao5 xue2sheng5	How many students are there in this grade? 
这种苹果多少钱一公斤?	zhe4zhong3 ping2guo3 duo1shao5 qian2 yi1 gong1jin1	How much does a kilo of these apples cost? 
“这个班有多少学生?”“三十二个。”	“ zhe4ge5 ban1 you3 duo1shao5 xue2sheng5”“ san1shi2er4 ge4。”	“How many students are there in this class?” “Thirty-two.” 
世界上有多少国家?	shi4jie4 shang5 you3 duo1shao5 guo2jia1	How many countries are there in the world? 
上个周末, 他搬家, 很多朋友来帮忙。	shang4 ge4 zhou1mo4, ta1 ban1jia1, hen3 duo1 peng2you5 lai2 bang1mang2。	Last weekend, he moved house. Many friends came to help out. 
他有很多朋友。	ta1 you3 hen3 duo1 peng2you5。	He has many friends. 
她每年花很多钱买衣服。	ta1 mei3 nian2 hua1 hen3 duo1 qian2 mai3 yi1fu5。	She spends lots of money every year buying clothes. 
我和姐姐分别三年了, 今天见面, 多高兴啊!	wo3 he2 jie3jie5 fen1bie2 san1 nian2 le5, jin1tian1 jian4mian4, duo1 gao1xing4 a5	I'm meeting my older sister today after three years' separation. How happy I am! 
你知道得越多, 就越想知道更多。	ni3 zhi1dao5 de5 yue4 duo1, jiu4 yue4 xiang3 zhi1dao5 geng4duo1。	The more you know, the more you want to know. 
这个男孩子在过去一年里长高多了。	zhe4ge5 nan2 hai2zi5 zai4 guo4qu5 yi1 nian2 li3zhang3 gao1 duo1 le5。	The boy has grown much taller in the past year. 
你要多少时间做完这件工作？	ni3 yao4 duo1shao5 shi2jian1 zuo4wan2 zhe4 jian4 gong1zuo4？	How soon can you finish the job? 
我需要更多的时间来做作业。	wo3 xu1yao4 geng4duo1 de5 shi2jian1 lai2 zuo4 zuo4ye4。	I need more time to do the homework. 
二千二百二十二	er4qian1 er4bai3 er4shi2er4	two thousand, two hundred and twenty-two (2,222) 
老二	lao3 er4	the second child 
一百零二	yi4bai3 ling2 er4	102 
星期二	Xing1qi1er4	Tuesday 
一年有十二个月。	yi1 nian2 you3 shi2er4 ge4 yue4。	There're twelve months in a year. 
一年有五十二个星期。	yi1 nian2 you3 wu3shi2er4 ge4 xing1qi1。	There're fifty-two weeks in a year. 
我还差二十块钱, 你可以借给我吗?	wo3 hai2 cha1 er4shi2 kuai4 qian2, ni3 ke3yi3 jie4gei3 wo3 ma5	I'm still short of twenty dollars. Can you give me a loan? 
“今天几号?”“今天二十号, 九月二十号。”	“ jin1tian1 ji3 hao4”“ jin1tian1 er4shi2 hao4, jiu3yue4 er4shi2 hao4。”	“What is the date today?” “It's the 20th, September 20th.” 
“明天是几月几日?”“明天是六月二十一日。”	“ ming2tian1 shi4 ji3 yue4 ji3 ri4”“ ming2tian1 shi4 liu4yue4 er4shi2yi1 ri4。”	“What date is tomorrow?” “It's June 21.” 
三月二十四日	San1yue4 er4shi2 si4 ri4	the twenty-fourth of March 
五五二十五。	wu3 wu3 er4shi2wu3。	Five times five is twenty-five. 
十二月	shi2er4yue4	December 
飞机票	fei1ji1piao4	air ticket 
开飞机	kai1 fei1ji1	pilot a plane 
上飞机	shang4 fei5ji1	get on the plane 
飞机什么时候开?	fei1ji1 shen2me5 shi2hou5 kai1	When will the plane depart? 
上飞机以前, 要关上手机。	shang4 fei5ji1 yi3qian2, yao4 guan1shang5 shou3ji1。	Switch off your cell phone before boarding a plane. 
从家里走到公共汽车站要十分钟。	cong2 jia1li3 zou3dao4 gong1gong4 qi4che1zhan4 yao4 shi2 fen1zhong1。	It's 10 minutes' walk from home to the bus stop. 
高兴极了	gao1xing4 ji2le5	very happy, delighted 
认识你, 很高兴。	ren4shi5 ni3, hen3 gao1xing4。	I'm glad to make your acquaintance. 
一个人	yi2 ge5 ren2	a person 
两个人	liang3 ge5 ren2	two people 
你认识这个人吗?	ni3 ren4shi5 zhe4 ge4ren2 ma5	Do you know this person? 
我们每个人讲一个故事, 怎么样?	wo3men5 mei3 ge4ren2 jiang3 yi1 ge4 gu4shi5, zen3me5yang4	We each tell a story, how about that? 
“你会做这个作业吗?”“会, 我已经做好了。”	“ ni3 hui4 zuo4 zhe4ge5 zuo4ye4 ma5”“ hui4, wo3 yi3jing1 zuo4hao3 le5。”	“Can you do this assignment?” “Yes, I can. I've already done it.” 
我等她等了一个半小时。	wo3deng3 ta1 deng3 le5 yi1 ge4 ban4 xiao3shi2。	I waited one and a half hours for her. 
我等你等了一个半小时了。	wo3deng3 ni3deng3 le5 yi1 ge4 ban4 xiao3shi2 le5。	I've been waiting for you for an hour and a half. 
我们这个周末搬家, 有几位朋友来帮忙。	wo3men5 zhe4ge5 zhou1mo4 ban1jia1, you3 ji3 wei4 peng2you5 lai2 bang1mang2。	We're moving house this weekend. Some friends will come to help. 
“你有没有弟弟?”“没有, 我只有一个哥哥。”	“ ni3 you3 mei2you3 di4di5”“ mei2you3, wo3 zhi3you3 yi1 ge4 ge1ge5。”	“Do you have a younger brother?” “No, I only have an older brother.” 
你有几个哥哥?	ni3 you3 ji3 ge4 ge1ge5	How many elder brothers do you have? 
这个国家历史很长。	zhe4ge5 guo2jia1 li4shi3 hen3 zhang3。	This country has a long history. 
“你去过几个国家?”	“ ni3 qu4 guo4 ji3 ge4 guo2jia1”	“How many countries have you been to?” 
我一直住在这个城市。	wo3 yi4zhi2 zhu4 zai4 zhe4ge5 cheng2shi4。	I've always been living in this city. 
他总是愿意帮助学生, 他是个好老师。	ta1 zong3shi4 yuan4yi4 bang1zhu4 xue2sheng5, ta1 shi4 ge4 hao3 lao3shi1。	He is always ready to help his students.  He is a good teacher. 
我妈妈有一个姐姐, 一个妹妹, 所以我有两个阿姨。	wo3 ma1ma5 you3 yi1 ge4 jie3jie5, yi1 ge4 mei4mei5, suo3yi3 wo3 you3 liang3 ge4 a1yi2。	My mother has an elder sister and a younger sister, so I have two aunts. 
你这个字写错了。	ni3 zhe4ge5 zi4 xie3 cuo4le5。	You've written this character wrongly. 
他老是写错这个字。	ta1 lao3shi5 xie3 cuo4 zhe4ge5 zi4。	He always writes this character wrongly. 
这个字是什么意思?	zhe4ge5 zi4 shi4 shen2me5 yi4si5	What's the meaning of this character? 
春夏秋冬, 你最喜欢哪个季节?	chun1-xia4-qiu1-dong1, ni3 zui4 xi3huan5 na3ge5 ji4jie2	Spring, summer, autumn and winter—which season do you like best? 
五十来个学生	wu3shi2 lai2 ge5 xue2sheng5	approximately fifty students 
这个孩子真聪明!	zhe4ge5 hai2zi5 zhen1 cong1ming5	This child is really smart!(→ What a bright child!) 
两个小时	liang3 ge4 xiao3shi2	two hours. 
七个小矮人	qi1 ge5 xiao3 ai3ren2	the seven dwarves 
他往往晚上还要工作两三个小时。	ta1 wang3wang3 wan3shang5 hai2yao4 gong1zuo4 liang3 san1 ge4 xiao3shi2。	He usually has to work two or three hours in the evening. 
我们工作了两个小时了, 休息一会儿吧。	wo3men5 gong1zuo4 le5 liang3 ge4 xiao3shi2 le5, xiu1xi5 yi2hui4r5 ba5。	We've been working for over two hours. Let's take a break. 
我们中午休息一个小时。	wo3men5 zhong1wu3 xiu1xi5 yi1 ge4 xiao3shi2。	We have a one-hour break at noon. 
这个房间的灯坏了。	zhe4ge5 fang2jian1 de5 deng1 huai4 le5。	The light in this room is out of order. 
体育和学习, 哪个更重要?	ti3yu4 he2 xue2xi2, na3ge5 geng4 zhong4yao4	Sports or study, which is more important? 
他找工作找了两个月了。	ta1 zhao3 gong1zuo4 zhao3 le5 liang3 ge4 yue4 le5。	He's been looking for a job for two months. 
她想找一个有钱人结婚。	ta1 xiang3 zhao3 yi1 ge4 you3qian2ren2 jie2hun1。	She wants to find a rich man to marry. 
下午我要去机场接一个朋友。	xia4wu3 wo3 yao4 qu4 ji1chang3 jie1 yi1 ge4 peng2you5。	I'm going to the airport this afternoon to receive a friend. 
他站在门口等一个朋友。	ta1 zhan4 zai4 men2kou3 deng3 yi1 ge4 peng2you5。	He's standing by the door, waiting for a friend. 
这个机会很难得, 你别错过。	zhe4ge5 ji1hui4 hen3 nan2de2, ni3 bie2 cuo4guo4。	This is a rare opportunity; don't you miss it. 
这个老问题一直没有办法解决。	zhe4ge5 lao3 wen4ti2 yi4zhi2 mei2you3 ban4fa3 jie3jue2。	This perennial problem has remained unsolved for a long time. 
两个苹果	liang3 ge5 ping2guo3	two apples 
这个问题还没有解决。	zhe4ge5 wen4ti2 hai2 mei2you3 jie3jue2。	This problem has not been resolved. 
我要问老师几个问题。	wo3 yao4 wen4 lao3shi1 ji3 ge4 wen4ti2。	I want to ask the teacher some questions. 
“有什么问题吗?”“有, 我有一个问题。”	“ you3 shen2me5 wen4ti2 ma5”“ you3, wo3 you3 yi1 ge4 wen4ti2。”	“Do you have any questions?” “Yes, I do.” 
这个问题我要想想。	zhe4ge5 wen4ti2 wo3 yao4 xiang3xiang5。	I need to think over this problem. 
我可以问你一个问题吗?	wo3 ke3yi3 wen4 ni3 yi1 ge4 wen4ti2 ma5	May I ask you a question? 
这个作业难得没有人会做。	zhe4ge5 zuo4ye4 nan2de2 mei2you3 ren2 hui4 zuo4。	The assignment was so difficult that no one could do it. 
我从来没有听说过这个名字。	wo3 cong2lai2 mei2you3 ting1shuo1 guo4 zhe4ge5 ming2zi5。	I've never heard of this name. 
我看书看了三个小时了, 我很累了。	wo3 kan4 shu1 kan4 le5 san1 ge4 xiao3shi2 le5, wo3 hen3 lei3 le5。	I've been reading for three hours. I'm tired. 
我有时候等公共汽车得等半个小时。	wo3 you3shi2hou5 deng3 gong1gong4 qi4che1 de5 deng3 ban4 ge5 xiao3shi2。	Sometimes I have to wait half an hour for a bus. 
“你能做这个工作吗？”“能。”	“ ni3 neng2 zuo4 zhe4ge5 gong1zuo4 ma5？”“ neng2。”	“Can you do the job?” “Yes, I can.” 
你觉得这个怎么样？	ni3 jue2de5 zhe4ge5 zen3me5yang4？	How do you like that? 
他买了一个新手机。	ta1 mai3 le5 yi1 ge4 xin1 shou3ji1。	He bought a new cell phone. 
我下个月还你钱。	wo3 xia4 ge4 yue4 hai2 ni3 qian2。	I'll pay you back next month. 
他总是第一个来, 最后一个走。	ta1 zong3shi4 di4-yi1 ge4 lai2, zui4hou4 yi1 ge4 zou3。	He is always the first to come and the last to leave. 
我今天上午给他发了一个电子邮件。	wo3 jin1tian1 shang4wu3 gei3 ta1 fa1 le5 yi1 ge4 dian4zi3 you2jian4。	I sent him an e-mail this morning. 
这个蛋糕太甜了。	zhe4ge5 dan4gao1 tai4 tian2 le5。	This cake is much too sweet. 
可以问你一个问题吗？	ke3yi3 wen4 ni3 yi1 ge4 wen4ti2 ma5？	Can I ask you a question? 
先生, 可以问您一个问题吗？	xian1sheng5, ke3yi3 wen4 nin2 yi1 ge4 wen4ti2 ma5？	Sir, would you mind if I ask you a question? 
他在那里工作。	ta1 zai4 na4li5 gong1zuo4。	He works there. 
工作条件	gong1zuo4 tiao2jian4	working conditions 
你是为钱工作吗?	ni3 shi4wei2 qian2 gong1zuo4 ma5	Do you work for money? 
您先生在哪儿工作?	nin2 xian1sheng5 zai4 na3r5 gong1zuo4	Where does your husband work? 
你工作很认真, 我要向你学习。	ni3 gong1zuo4 hen3 ren4zhen1, wo3 yao4 xiang4 ni3 xue2xi2。	You work conscientiously. I must emulate you. 
这件工作在一个星期里做好了。	zhe4 jian4 gong1zuo4 zai4 yi1 ge4 xing1qi1 li3 zuo4hao3 le5。	The work was done in a week. 
你在这家公司工作了很久吗？	ni3 zai4 zhe4 jia1 gong1si1 gong1zuo4 le5 hen3 jiu3 ma5？	Have you been working in this company for long? 
她对新工作十分满意。	ta1 dui4 xin1 gong1zuo4 shi2fen1 man3yi4。	She is perfectly happy with the new job. 
我在下星期一开始新工作。	wo3 zai4xia4 Xing1qi1yi1 kai1shi3 xin1 gong1zuo4。	I'll start my new job next Monday. 
小狗	xiao3 gou3	puppy 
两只狗	liang3 zhi1 gou3	two dogs 
我走到哪里, 我的狗跟到哪里。	wo3 zou3dao4 na3li5, wo3 de5 gou3 gen1 dao4 na3li5。	My dog follows me everywhere. 
汉语水平考试	Han4yu3 Shui3ping2 Kao3shi4 (	Chinese Proficiency Test 
这张画画得真好!	zhe4 zhang1 hua4 hua4 de5 zhen1 hao3	This picture is so well done! 
好, 我马上来!	hao3, wo3 ma3shang4 lai2	OK, I'm coming! 
你好!	ni3hao3	How do you do? Hello! 
新年好!	xin1nian2 hao3	Happy New Year! 
今天晚上的月亮真好!	jin1tian1 wan3shang5  de5 yue4liang5 zhen1 hao3	What a fine moon it is tonight! 
准备好	zhun3bei4 hao3	be well prepared 
他去年的考试成绩非常好。	ta1 qu4nian2 de5 kao3shi4 cheng2ji4 fei1chang2 hao3。	His examination results last year were very good. 
她对我很好。	ta1 dui4 wo3 hen3 hao3。	She treats me well. (→ She is nice to me.) 
你中文说得很好。	ni3 Zhong1wen2 shuo1 de5hen3 hao3。	You speak Chinese very well. 
今天天气极好。	jin1tian1 tian1qi4 ji2 hao3。	The weather is extremely good today. 
我姐姐对我很好。	wo3 jie3jie5 dui4 wo3 hen3 hao3。	My elder sister is very nice to me. 
今天天气很好。	jin1tian1 tian1qi4 hen3 hao3。	The weather's fine today. 
我哥哥要我问你好。	wo3 ge1ge5 yao4 wo3 wen4 ni3hao3。	My brother asked me to give you his regards. 
我的朋友中间, 他体育最好。	wo3 de5 peng2you5 zhong1jian1, ta1 ti3yu4 zui4hao3。	Among my friends he is the best athlete. 
笑得最后, 才笑得最好。	xiao4 de5 zui4hou4, cai2 xiao4 de5 zui4hao3。	He who laughs last laughs best. 
他等了她好久, 她才来。	ta1 deng3 le5 ta1 hao3jiu3, ta1 cai2 lai2。	He waited for her for a long time before she came. 
太好了!	tai4 hao3le5	That's wonderful! 
好些	hao3xie5	quite a few, lots of 
她买了好几件漂亮衣服。	ta1 mai3 le5 hao3ji3 jian4 piao4liang5 yi1fu5。	She bought some pretty clothes. 
您老人家身体好吗?	nin2 lao3ren5jia5 shen1ti3 hao3 ma5	Are you in good health, sir (or ma'am)? 
你好吗?	ni3hao3 ma5	How're you? 
他对他妻子好吗?	ta1 dui4 ta1 qi1zi5 hao3 ma5	Is he nice to his wife? 
你身体好吗?	ni3 shen1ti3 hao3 ma5	How's your health? 
这种咖啡很好喝。	zhe4zhong3 ka1fei1 hen3 hao3he1。	This kind of coffee tastes good. 
这种啤酒很好喝。	zhe4zhong3 pi2jiu3 hen3 hao3he1。	This beer tastes good. 
你这件新衣服好漂亮!	ni3 zhe4 jian4 xin1 yi1fu5 hao3 piao4liang5	How pretty your new dress is! 
她把哥哥介绍给自己最好的朋友。	ta1 ba3 ge1ge5 jie4shao4 gei3 zi4ji3 zui4hao3 de5 peng2you5。	She introduced her elder brother to her best friend. 
她穿白衣服特别好看。	ta1 chuan1 bai2 yi1fu5 te4bie2 hao3kan4。	She looks especially beautiful in white. 
她妈妈年轻的时候很好看。	ta1 ma1ma5 nian2qing1 de5 shi2hou5 hen3 hao3kan4。	Her mother was beautiful when young. 
你穿白裙子很好看。	ni3 chuan1 bai2 qun2zi5 hen3 hao3kan4。	You look good in a white skirt. 
你做得很好。	ni3 zuo4 de5hen3 hao3。	You did a good job. 
等一等, 我马上准备好。	deng3 yi1deng3, wo3 ma3shang4 zhun3bei4 hao3。	Wait a minute. I'll be ready in no time. 
她好像很担心。	ta1 hao3xiang4 hen3 dan1xin1。	She appeared to be worried. 
给我放好洗澡水, 好吗？	gei3 wo3 fang4hao3 xi3zao3shui3, hao3 ma5？	Will you run a bath for me, please. 
你看一看这张照片, 好吗？	ni3 kan4yi1kan4 zhe4 zhang1 zhao4pian4, hao3 ma5？	Will you have a look at this photo? 
好吧, 你来试试吧。	hao3 ba5, ni3 lai2 shi4shi4 ba5。	OK, I'll let you try. 
好好玩吧!	hao3 hao3wan2 ba5	Have fun! 
我和他是好朋友。	wo3 he2 ta1 shi4 hao3 peng2you5。	He and I are good friends. 
没有什么比身体好更重要。	mei2you3 shen2me5 bi3 shen1ti3 hao3 geng4 zhong4yao4。	Nothing is more important than good health. 
你是我最好的朋友。	ni3 shi4 wo3 zui4hao3 de5 peng2you5。	You are my best friend. 
我小时候, 爷爷是我最好的朋友。	wo3 xiao3shi2hou5, ye2ye5 shi4 wo3 zui4hao3 de5 peng2you5。	When I was small, my grandpa was my best friend. 
今天是几月几号？	jin1tian1 shi4 ji3 yue4 ji3 hao4？	What's the date today? 
他喜欢一边喝啤酒, 一边看体育节目。	ta1 xi3huan5 yi4bian1 he1 pi2jiu3, yi4bian1 kan4 ti3yu4 jie2mu4。	He likes to drink beer while watching sports programs. 
我口渴, 要喝水。	wo3 kou3ke3, yao4 he1shui3。	I'm thirsty. I want to drink some water. 
感冒了要喝白开水。	gan3mao4 le5 yao4 he1 bai2kai1shui3。	You should drink a lot of boiled water when you've got a cold. 
我和他是老朋友, 我很了解他。	wo3 he2 ta1 shi4 lao3peng2you5, wo3 hen3 liao3jie3 ta1。	He and I are old friends. I know him very well. 
房间里有一张桌子和四把椅子。	fang2jian1 li3 you3 yi1 zhang1 zhuo1zi5 he2 si4 ba3 yi3zi5。	There is a table and four chairs in the room. 
我可以和你说一会儿话吗？	wo3 ke3yi3 he2 ni3 shuo1 yi2hui4r5 hua4 ma5？	Might I speak to you for a moment? 
她在最后一刻决定和我一起去。	ta1 zai4 zui4hou4 yi1 ke4 jue2ding4 he2 wo3 yi4qi3 qu4。	She decided to go with me at the last minute. 
贵得很	gui4 de5 hen3	very expensive 
我等你等了很久了。	wo3deng3 ni3deng3 le5 hen3 jiu3 le5。	I've been waiting for you for a long time. 
她很会穿衣服。	ta1 hen3 hui4 chuan1 yi1fu5。	She has good dress sense. 
这位老人身体很健康。	zhe4 wei4 lao3ren2 shen1ti3 hen3 jian4kang1。	This old person is in good health. 
她很像妈妈。	ta1 hen3 xiang4 ma1ma5。	She takes after her mother. 
今天很冷。	jin1tian1 hen3 leng3。	It's cold today. 
他中文学习得很努力。	ta1 Zhong1wen2 xue2xi2 de5hen3 nu3li4。	He studies Chinese very diligently. 
这里的街道很安静。	zhe4li5 de5 jie1dao4 hen3 an1jing4。	The streets in this area are quiet. 
你说得很对。	ni3 shuo1 de5hen3 dui4。	You spoke correctly. (→ You're right.) 
我很少看报纸。	wo3 hen3 shao3 kan4 bao4zhi3。	I seldom read newspapers. 
因为没有时间, 所以我很少去看朋友。	yin1wei4 mei2you3 shi2jian1, suo3yi3 wo3 hen3 shao3 qu4 kan4 peng2you5。	I seldom go visiting friends because I don't have the time. 
他身体很差, 经常生病。	ta1 shen1ti3 hen3 cha1, jing1chang2 sheng1 bing4。	He is in poor health and often falls ill. 
这孩子对动物很感兴趣。	zhe4 hai2zi5 dui4 dong4wu4 hen3 gan3 xing4qu4。	This child is very interested in animals. 
中国字很有意思。	zhong1guo2zi4 hen3 you3 yi4si5。	Chinese characters are very interesting. 
她对人很热情。	ta1 dui4 ren2 hen3 re4qing2。	She's warmhearted towards others. 
她很聪明, 老师一说她就懂。	ta1 hen3 cong1ming5, lao3shi1 yi1 shuo1 ta1 jiu4 dong3。	She is very bright. As soon as the teacher has explained, she understands. 
我觉得这里很冷。	wo3 jue2de5 zhe4li5 hen3 leng3。	I feel cold in here. 
猫很喜欢坐在我腿上。	mao1 hen3 xi3huan5 zuo4 zai4 wo3 tui3 shang4。	The cat likes to sit on my lap. 
她很容易生气。	ta1 hen3 rong2yi4 sheng1qi4。	She is quick to take offense. 
我对中国文化很感兴趣。	wo3 dui4 Zhong1guo2 wen2hua4 hen3 gan3 xing4qu4。	I'm very interested in Chinese culture. 
我们很接近那里了。（→ 我们快到了。）	wo3men5 hen3 jie1jin4 na4li5 le5。（ wo3men5 kuai4 dao4liao3。）	We're nearly there. 
虽然是九月了, 但是还很热。	sui1ran2 shi4 jiu3yue4 le5, dan4shi4 hai2 hen3 re4。	Although it's September, it's still very hot. 
他住得离火车站很近。	ta1 zhu4 de5 li2 huo3che1zhan4 hen3 jin4。	He lives close to the railway station. 
路试要求很高。	lu4 shi4 yao1qiu2 hen3 gao1。	The road test was demanding. 
我离开一会儿, 马上就回来。	wo3 li2kai1 yi2hui4r5, ma3shang4 jiu4 hui2lai5。	Excuse me for a minute. I'll be back soon. 
回答问题以前, 先要想一下。	hui2da2 wen4ti2 yi3qian2, xian1yao4 xiang3 yi2xia4。	Before you answer a question, you should think first. 
他现在可能回家了。	ta1 xian4zai4 ke3neng2 hui2jia1 le5。	He should be home now. 
我希望他马上回家, 因为我开始为他担心了。	wo3 xi1wang4 ta1 ma3shang4 hui2jia1, yin1wei4 wo3 kai1shi3 wei2 ta1 dan1xin1 le5。	I hope he comes home soon since I'm beginning to worry about him. 
你今天什么时候回家？	ni3 jin1tian1 shen2me5 shi2hou5 hui2jia1？	When are you coming home today? 
我马上回来。	wo3 ma3shang4 hui2lai5。	I'll be back soon. 
我一会儿就回来。	wo3 yi1hui4r5 jiu4 hui2lai5。	I'll be back in a moment. 
我还在等她回答。	wo3 hai2 zai4 deng3 ta1 hui2da2。	I'm still waiting for her answer. 
孩子在学校里的时候, 她检查、回答电子邮件。	hai2zi5 zai4 xue2xiao4 li3 de5 shi2hou5, ta1 jian3cha2、 hui2da2 dian4zi3 you2jian4。	She checked and replied to e-mails while her children were in school. 
开会	kai1 hui4	have a meeting 
学生会	xue2sheng5hui4	students union 
错过机会	cuo4guo4 ji1hui4	miss an opportunity 
他经常到外地去开会。	ta1 jing1chang2 dao4 wai4di4 qu4 kai1 hui4。	He often travels to other parts of the country to attend conferences. 
今天可能会下雨, 带着伞吧。	jin1tian1 ke3neng2 hui4 xia4 yu3, dai4 zhe5 san3 ba5。	It may rain today. Take your umbrella with you. 
我去开会了, 这里请你照顾一下。	wo3 qu4 kai1 hui4 le5, zhe4li5 qing3 ni3 zhao4gu5 yi2xia4。	I'm going to a meeting. Please keep an eye on things here. 
他听了可能会生气。	ta1 ting1 le5 ke3neng2 hui4 sheng1qi4。	He may be offended when he hears this. 
你会用中文问路吗?	ni3 hui4 yong4 Zhong1wen2 wen4 lu4 ma5	Can you ask the way in Chinese? 
参加会议	can1jia1 hui4yi4	participate in a meeting or conference 
你会说中文吗?	ni3 hui4shuo1 Zhong1wen2 ma5	Do you speak Chinese? 
我相信中文会越来越有用。	wo3 xiang1xin4 zhong1 wen2hui4 yue4lai2yue4 you3yong4。	I believe the Chinese language will be more and more useful. 
音乐会门票	yin1yue4hui4 men2piao4	concert ticket 
你会骑马吗?	ni3 hui4 qi2 ma3 ma5	Can you ride a horse? 
我只会在洗澡的时候唱歌。	wo3 zhi3 hui4 zai4 xi3zao3 de5 shi2hou5 chang4ge1。	I'm able to sing only in the shower. 
你会用中文问路吗？	ni3 hui4 yong4 Zhong1wen2 wen4 lu4 ma5？	Do you know how to ask the way in Chinese? 
你会说中文吗？	ni3 hui4shuo1 Zhong1wen2 ma5？	Do you speak Chinese? 
音乐会门票是十块钱。	yin1yue4hui4 men2piao4 shi4 shi2 kuai4 qian2。	Admission to the concert is 10 dollars. 
我有几件事情要跟你说。	wo3 you3 ji3 jian4 shi4qing5 yao4 gen1 ni3 shuo1。	I've something to discuss with you. 
你在这里住了几年了?	ni3 zai4 zhe4li5 zhu4 le5 ji3 nian2 le5	How long have you been living here? 
你几岁？	ni3 ji3 sui4？	How old are you? 
那是星期几？	na4shi5 xing1qi1ji3？	Which day of the week was it? 
画家	hua4jia1	painter, artist 
四家人家	si4 jia1 ren2jia1	four families 
数学家	shu4xue2jia1	mathematician 
小说家	xiao3shuo1jia1	(accomplished) novelist 
银行家	yin2hang2jia1	banker 
我去过他家两次。	wo3 qu4 guo4 ta1jia1 liang3 ci4。	I've been to his home twice. 
一家商店	yi4 jia1 shang1dian4	a store 
听说张先生一家搬走了。	ting1shuo1 zhang1 xian1sheng5 yi1jia1 ban1zou3 le5。	I've heard that Mr Zhang's family has moved. 
我家有一只小白猫。	wo3jia1 you3 yi1 zhi3 xiao3 bai2 mao1。	We keep a white kitten at home. 
我家离学校不远。	wo3jia1 li2 xue2xiao4 bu4 yuan3。	My home is not far from school. 
请你叫一下服务员。	qing3 ni3 jiao4 yi2xia4 fu2wu4yuan2。	Please call the attendant. 
今天太冷了, 别去游泳吧!	jin1tian1 tai4 leng3 le5, bie2 qu4 you2yong3 ba5	It's too cold today. Don't go swimming, OK? 
今天是你的生日, 你来分生日蛋糕。	jin1tian1 shi4 ni3 de5 sheng1ri4, ni3 lai2 fen1 sheng1ri4 dan4gao1。	Today's your birthday, come and cut your birthday cake. 
今天的课你听懂没有?	jin1tian1 de5 ke4 ni3 ting1dong3 mei2you3	Do you understand today's lesson? 
今天是你的生日, 我送你一件小礼物。	jin1tian1 shi4 ni3 de5 sheng1ri4, wo3 song4 ni3 yi1 jian4 xiao3 li3wu4。	Today's your birthday. I'll give you a little gift. 
我今天晚上没有事情做。	wo3 jin1tian1 wan3shang5  mei2you3 shi4qing5 zuo4。	I've nothing to do this evening. 
他说今天晚上没有时间。	ta1 shuo1 jin1tian1 wan3shang5  mei2you3 shi2jian1。	He said he did not have time this evening. 
你今天晚上打算做什么?	ni3 jin1tian1 wan3shang5  da3suan4 zuo4 shen2me5	What do you plan to do this evening? 
你今天觉得怎么样?	ni3 jin1tian1 jue2de5 zen3me5yang4	How are you feeling today? 
你今天想做什么？	ni3 jin1tian1 xiang3 zuo4 shen2me5？	What do you want to do today? 
九千九百九十九	jiu3qian1 jiu3bai3 jiu3shi2jiu3	9,999 
九月一日	Jiu3yue4 yi2 ri4	the first of September 
九一一	jiu3-yao1-yao1	9/11 September 11 
开商店	kai1 shang1dian4	open a shop, keep a shop 
开开门!	kai1 kai1men2	Open the door, please! 
开灯	kai1 deng1	turn on the light 
别开玩笑了!	bie2 kai1 wan2xiao4 le5	Stop kidding! 
他喜欢跟别人开玩笑,  有时候太过分了。	ta1 xi3huan5 gen1 bie2ren5 kai1 wan2xiao4, you3shi2hou5 tai4 guo4fen4 le5。	He likes to play jokes on people, sometimes he would go too far. 
公共汽车开过来了。	gong1gong4 qi4che1 kai1 guo4lai5 le5。	A bus is coming over. 
开关在哪里？	kai1guan1 zai4 na3li5？	Where is the switch? 
中午的时候开始下雨了。	zhong1wu3 de5 shi2hou5 kai1shi3 xia4 yu3 le5。	It started to rain at noon. 
